Mesh_UI	Mesh_eng	Mesh_swe
D000001	Calcimycin	Kalcimycin
D000002	Temefos	Temefos
D000003	Abattoirs	Slakthus
D000004	Abbreviations	Förkortningar
D000005	Abdomen	Buk
D000006	Abdomen, Acute	Akut buk
D000007	Abdominal Injuries	Bukskador
D000008	Abdominal Neoplasms	Buktumörer
D000009	Abdominal Muscles	Bukmuskler
D000010	Abducens Nerve	Abducensnerv
D000011	Abelson murine leukemia virus	Abelsons leukemivirus
D000012	Abetalipoproteinemia	Abetalipoproteinemi
D000013	Abnormalities	Missbildningar
D000014	Abnormalities, Drug-Induced	Missbildningar, läkemedelsframkallade
D000015	Abnormalities, Multiple	Missbildningar, multipla
D000016	Abnormalities, Radiation-Induced	Missbildningar, strålningsframkallade
D000017	ABO Blood-Group System	ABO-blodgruppssystem
D000018	Abomasum	Abomasum
D000019	Abortifacient Agents	Abortframkallande medel
D000020	Abortifacient Agents, Nonsteroidal	Abortframkallande medel, icke-steroida
D000021	Abortifacient Agents, Steroidal	Abortframkallande medel, steroida
D000022	Abortion, Spontaneous	Missfall
D000023	Abortion Applicants	Abortsökande
D000024	Abortion, Criminal	Abort, illegal
D000025	Abortion, Eugenic	Abort, eugenetisk
D000026	Abortion, Habitual	Missfall, återkommande
D000027	Abortion, Incomplete	Abort, ofullständig
D000028	Abortion, Induced	Abort, framkallad
D000029	Abortion, Legal	Abort, legal
D000030	Abortion, Missed	Missfall, utebliven
D000031	Abortion, Septic	Abort, septisk
D000032	Abortion, Therapeutic	Abort, terapeutisk
D000033	Abortion, Threatened	Missfall, hotande
D000034	Abortion, Veterinary	Abort, veterinär
D000035	Abreaction	Avreagering
D000036	Abrin	Abrin
D000037	Abruptio Placentae	Placentaavlossning
D000038	Abscess	Varböld
D000039	Peritonsillar Abscess	Halsböld
D000040	Abscisic Acid	Abskisinsyra
D000041	Absenteeism	Frånvaro
D000042	Absorption	Absorption
D000043	Abstracting and Indexing	Abstrahering och indexering
D000044	Dental Abutments	Dentala förankringar
D000045	Acacia	Akacia
D000046	Academic Medical Centers	Medicinska institut
D000047	Academies and Institutes	Akademier och institut
D000048	Acanthamoeba	Acanthamoeba
D000049	Acanthocephala	Acanthocephala
D000050	Acanthocytes	Akantocyter
D000051	Acantholysis	Akantolys
D000052	Acanthosis Nigricans	Acanthosis nigricans
D000053	Acari	Acari
D000054	Acceleration	Acceleration
D000055	Accessory Nerve	Accessorisk nerv
D000056	Accident Prevention	Olycksfallsprevention
D000057	Accident Proneness	Olycksbenägenhet
D000058	Accidental Falls	Fallolyckor
D000059	Accidents	Olycksfall
